,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Side,City,County,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Humidity(%),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition
2891,2,2021-09-19 0:01,2021-09-19 1:34,37.761865,-122.40604,37.751863,-122.403198,0.708,Slow traffic on James Lick Fwy S - US-101 S from San Francisco-Oakland Bay Bridge to exit [432] due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-09-19 0:56,64,84,10,SE,6,0,Cloudy
2892,2,2021-04-13 16:49,2021-04-13 19:11,37.735902,-122.407833,37.736412,-122.407133,0.052,Accident from I-280/John F Foran Fwy (Alemany Blvd) to US-101/James Lick Fwy (Alemany Blvd).,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-04-13 16:56,58,58,9,WNW,20,0,Fair
2893,2,2021-11-12 7:55,2021-11-12 9:42,37.765236,-122.404898,37.774043,-122.405898,0.611,Stationary traffic on I-80 E - James Lick Fwy N from Seventh St exit [1] to exit [1] due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-11-12 7:56,57,93,10,SSE,5,0,Fair
2894,2,2021-12-27 8:45,2021-12-27 10:51,37.729893,-122.440062,37.726093,-122.446202,0.426,Accident on Monterey Blvd/San Jose Ave (I-280) from Ocean Ave (I-280) to I-280 S - John F Foran Fwy S.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-12-27 8:56,48,86,9,NW,8,0.02,Cloudy
2895,2,2021-07-07 9:44,2021-07-07 19:25,37.770949,-122.405755,37.818824,-122.349734,4.505,Stationary traffic on San Francisco-Oakland Bay Brg E - I-80 E - James Lick Fwy N from US-101 (I-80) to Bay Bridge Toll Plz (I-80) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-07-07 9:56,60,78,9,W,13,0,Cloudy
2898,2,2021-05-28 20:51,2021-05-28 22:57,37.770577,-122.422088,37.772125,-122.422949,0.117,Stationary traffic from Duboce Ave exit [434A] to Gough St due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-05-28 20:56,56,72,10,W,16,0,Partly Cloudy
2900,2,20:30.0,49:00.0,37.765234,-122.404893,37.770944,-122.405753,0.397,Stationary traffic from I-80 exit [433B] to I-80 E due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-06-21 11:56,70,59,10,NNE,10,0,Fair
2901,2,57:00.0,40:30.0,37.749107,-122.417053,37.750713,-122.417203,0.111,Accident from 26th St to 25th St.,L,San Francisco,San Francisco,US/Pacific,KSFO,2021-07-18 22:56,56,87,10,WNW,14,0,Mostly Cloudy
2902,2,58:00.0,28:41.0,37.632433,-122.402683,37.636423,-122.402543,0.276,Accident from US-101 N to S Airport Blvd.,R,San Francisco,San Mateo,US/Pacific,KSFO,2021-12-29 1:56,47,90,10,SSE,6,0.04,Heavy Rain
2903,2,28:00.0,32:55.0,37.632449,-122.40269,37.632948,-122.402653,0.035,Accident from US-101 N to S Airport Blvd.,R,San Francisco,San Mateo,US/Pacific,KSFO,2021-10-15 9:56,61,67,10,CALM,0,0,Fair
2904,2,42:30.0,45:19.0,37.718439,-122.448554,37.712621,-122.453673,0.49,Stationary traffic on I-280 S - John F Foran Fwy S from San Jose Ave to San Jose Ave (CA-82) exit [50] due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-10-21 16:56,67,81,10,S,6,0,Mostly Cloudy
2905,2,2021-10-09 13:02,2021-10-09 15:50,37.729801,-122.439903,37.731844,-122.428206,0.655,Incident on I-280 NB near GENEVA AVE Road closed. Take alternate route.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-10-09 12:56,67,54,10,N,3,0,Fair
2906,2,2021-08-18 11:13,2021-08-18 19:28,37.768888,-122.407389,37.774463,-122.406098,0.392,Stationary traffic on I-80 E - James Lick Fwy N from I-80 exit [433] to exit [1] due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-08-18 10:56,66,70,8,NNE,6,0,Mostly Cloudy
2910,2,2021-09-25 21:11,2021-09-25 23:47,37.769464,-122.413199,37.768796,-122.407979,0.289,Stationary traffic on Central Skwy S - US-101 S - Central Fwy from 13th St to San Francisco-Oakland Bay Bridge due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-09-25 20:56,59,81,10,W,14,0,Partly Cloudy
2911,2,2021-03-22 9:52,2021-03-22 18:43,37.770949,-122.405755,37.808252,-122.366974,3.336,Slow traffic on San Francisco-Oakland Bay Brg E - I-80 E - James Lick Fwy N from US-101 (I-80) to Treasure Island Rd (I-80) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-03-22 9:56,54,64,9,WNW,20,0,Partly Cloudy
2912,2,2021-07-01 16:06,2021-07-01 18:15,37.734618,-122.410465,37.734723,-122.410699,0.015,Accident from San Francisco to Alemany Blvd / Putnam St.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-07-01 15:56,75,50,10,WSW,16,0,Fair
2914,2,2021-12-10 18:19,2021-12-10 20:31,37.788441,-122.471867,37.78066,-122.473622,0.546,Slow traffic on Veterans Blvd - CA-1 from W Pacific Ave to 15th Ave due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-12-10 17:56,51,63,10,W,10,0,Fair
2916,2,41:00.0,50:31.0,37.749162,-122.404764,37.749932,-122.405564,0.069,Incident on POTRERO AVE near BAY SHORE BLVD Drive with caution.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-03-06 1:49,50,77,10,W,13,0,Cloudy
2917,2,39:00.0,43:50.0,37.731631,-122.426077,37.731977,-122.433853,0.426,Stationary traffic on I-280 S - John F Foran Fwy S from Alemany Blvd to San Jose Ave due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-10-16 13:56,70,57,10,NNE,5,0,Fair
2921,2,2021-05-02 17:28,2021-05-02 19:35,37.734644,-122.409565,37.732317,-122.431509,1.21,Stationary traffic on I-280 S - John F Foran Fwy S from Army St (I-280) to Monterey Blvd/San Jose Ave (I-280) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-05-02 17:56,61,56,10,WNW,37,0,Fair / Windy
2922,2,2021-12-20 13:55,2021-12-20 15:18,37.722832,-122.401651,37.721635,-122.40115,0.087,Incident on SAN BRUNO AVE near OLMSTEAD ST Drive with caution.,L,San Francisco,San Francisco,US/Pacific,KSFO,2021-12-20 13:56,53,71,10,E,12,0,Mostly Cloudy
2924,2,2021-12-13 14:09,2021-12-13 15:26,37.802249,-122.466133,37.802959,-122.455733,0.57,Incident on US-101 SB near BATTERY TUNL Right shoulder closed.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-12-13 14:03,56,87,1,S,25,0.01,Light Rain / Windy
2925,2,2021-12-13 13:58,2021-12-13 15:15,37.807184,-122.475274,37.832684,-122.481174,1.791,Incident on US-101 NB near BTWN 2 TUNNELS Drive with caution.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-12-13 13:56,56,87,1,S,33,0.04,Light Rain / Windy
2926,2,2021-10-24 12:44,2021-10-24 14:58,37.710565,-122.462631,37.701462,-122.471995,0.811,Accident on Sickles Ave (I-280) from CA-1/John Daly Blvd (I-280) to I-280 S - John F Foran Fwy S.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-10-24 12:56,63,90,2,S,41,0.16,Rain / Windy
2927,2,2021-06-29 10:01,2021-06-29 13:07,37.770727,-122.405966,37.769457,-122.411166,0.297,Incident on I-80 WB near SMALL CAR Expect delays.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-06-29 9:56,63,72,10,WNW,16,0,Mostly Cloudy
2930,2,2021-06-12 13:03,2021-06-12 16:23,37.801347,-122.469502,37.786307,-122.472712,1.054,Stationary traffic on Veterans Blvd - CA-1 from US-101 (CA-1) to Park Presidio Blvd (CA-1) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-06-12 12:56,78,50,10,WNW,16,0,Fair
2931,2,2021-10-16 10:26,2021-10-16 19:25,37.770949,-122.405755,37.786612,-122.390136,1.378,Stationary traffic on I-80 E - James Lick Fwy N from US-101 (I-80) to Treasure Island Rd (I-80) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-10-16 9:56,64,65,10,NE,3,0,Fair
2932,2,2021-09-24 22:06,2021-09-24 23:25,37.727031,-122.402666,37.715842,-122.39869,0.803,Incident on US-101 SB near PAUL AVE Expect delays.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-09-24 21:56,58,90,10,WNW,12,0,Fair
2933,2,2021-04-16 19:17,2021-04-16 20:38,37.744025,-122.420897,37.743284,-122.421371,0.057,Incident on MISSION ST near HOUSE 3326 Drive with caution.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-04-16 18:56,53,71,10,WNW,21,0,Partly Cloudy / Windy
2934,2,2021-10-07 23:39,2021-10-08 1:42,37.708846,-122.394957,37.720904,-122.40001,0.878,Accident on Alanna Way (US-101) from Paul Ave (US-101) to James Lick Fwy N - US-101 N.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-10-07 23:56,56,72,10,W,10,0,Mostly Cloudy
2935,2,2021-11-02 16:21,2021-11-02 17:03,37.773873,-122.431586,37.774604,-122.425898,0.315,Slow traffic from Divisadero St (Oak St) to Octavia Blvd (Oak St) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-11-02 15:56,66,78,10,N,9,0,Partly Cloudy
2936,2,2021-06-25 13:43,2021-06-25 15:36,37.769841,-122.4177,37.772125,-122.422949,0.327,Slow traffic from Octavia Blvd exit [434B] to Gough St due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-06-25 13:56,70,57,10,WNW,18,0,Fair
2937,2,2021-05-06 14:37,2021-05-06 16:44,37.785598,-122.414592,37.786528,-122.414792,0.065,Accident from O'Farrell St (Leavenworth St) to Geary St (Leavenworth St).,L,San Francisco,San Francisco,US/Pacific,KSFO,2021-05-06 14:56,61,64,10,WNW,15,0,Mostly Cloudy
2938,2,2021-05-05 22:09,2021-05-06 9:42,37.731593,-122.447304,37.73234,-122.447293,0.052,Accident from Monterey Blvd to Joost Ave.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-05-05 21:56,53,80,10,WNW,13,0,Partly Cloudy
2940,2,2021-08-18 11:13,2021-08-18 21:25,37.769002,-122.405964,37.773622,-122.406274,0.32,Slow traffic on I-80 E - James Lick Fwy N from I-80 exit [433] to exit [1] due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-08-18 10:56,66,70,8,NNE,6,0,Mostly Cloudy
2941,2,2021-09-30 13:08,2021-09-30 14:27,37.719426,-122.396902,37.719793,-122.396726,0.027,Incident on 3RD ST near KEY AVE Drive with caution.,L,San Francisco,San Francisco,US/Pacific,KSFO,2021-09-30 12:56,74,53,10,CALM,0,0,Fair
2942,2,2021-05-26 16:03,2021-05-26 18:05,37.777095,-122.410516,37.7758,-122.411086,0.095,Slow traffic from 7th St to Folsom St due to accident.,L,San Francisco,San Francisco,US/Pacific,KSFO,2021-05-26 15:56,61,62,10,WNW,26,0,Partly Cloudy / Windy
2944,2,2021-11-02 14:19,2021-11-02 15:59,37.771862,-122.407874,37.772121,-122.407541,0.026,Incident on BRYANT ST near HOUSE 1090 Drive with caution.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-11-02 13:56,65,81,9,N,8,0,Partly Cloudy
2945,2,2021-10-20 12:34,2021-10-20 22:28,37.769373,-122.405535,37.773622,-122.406274,0.296,Stationary traffic on I-80 E - James Lick Fwy N from Division St to exit [1] due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-10-20 12:56,66,68,10,S,12,0,Mostly Cloudy
2946,2,2021-12-16 6:50,2021-12-16 7:42,37.743954,-122.405591,37.76465,-122.404865,1.431,Slow traffic on James Lick Fwy N - US-101 N from I-280/Alemany Blvd (US-101) to Vermont St (US-101) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-12-16 6:56,51,86,9,W,8,0,Partly Cloudy
2947,2,2021-11-02 16:45,2021-11-02 19:08,37.774387,-122.42756,37.775778,-122.4242,0.207,Slow traffic from Buchanan St to Fell St due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-11-02 16:56,66,75,10,N,6,0,Fair
2948,2,27:00.0,15:00.0,37.740341,-122.407851,37.744233,-122.405397,0.3,Slow traffic on James Lick Fwy N - US-101 N from I-280/Alemany Blvd (US-101) to Army St/Potrero Ave (US-101) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-11-02 3:56,61,93,9,NE,7,0,Light Rain
2949,2,36:30.0,58:20.0,37.769841,-122.4177,37.772125,-122.422949,0.327,Slow traffic from Octavia Boulevard exit [434B] to Gough St due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-10-14 19:56,62,50,10,NW,7,0,Fair
2950,2,2021-12-23 14:47,2021-12-23 16:07,37.807184,-122.475274,37.832684,-122.481174,1.791,Incident on US-101 NB near GGB Drive with caution.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-12-23 14:56,57,87,10,S,10,0,Mostly Cloudy
2951,2,2021-10-12 19:08,2021-10-12 20:26,37.814015,-122.47786,37.830136,-122.479697,1.118,Incident on US-101 NB near GGB TP Drive with caution.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-10-12 18:56,56,57,10,W,21,0,Fair / Windy
2952,2,2021-12-03 11:27,2021-12-03 12:51,37.738556,-122.404993,37.738367,-122.405665,0.039,Incident on INDUSTRIAL ST near HOUSE 240 Drive with caution.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-12-03 11:56,55,80,5,N,3,0,Cloudy
2954,2,2021-03-27 21:38,2021-03-27 23:15,37.766317,-122.405257,37.743494,-122.406169,1.578,Stationary traffic on James Lick Fwy S - US-101 S from I-80 (US-101) to I-280/Alemany Blvd (US-101) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-03-27 21:56,57,67,10,WNW,13,0,Fair
2962,2,2021-05-28 20:51,2021-05-28 23:06,37.770703,-122.422294,37.772125,-122.422949,0.105,Slow traffic from Duboce Ave exit [434A] to Gough St due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-05-28 20:56,56,72,10,W,16,0,Partly Cloudy
2964,2,2021-05-21 13:19,2021-05-21 16:47,37.76959,-122.416952,37.76906,-122.409462,0.411,Stationary traffic on Central Skwy S - US-101 S - Central Fwy from 13th St to I-80 exit [433] due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-05-21 12:56,63,45,10,WNW,18,0,Fair
2965,2,2021-11-26 11:04,2021-11-26 19:29,37.736198,-122.407268,37.758154,-122.404751,1.523,Slow traffic on James Lick Fwy N - US-101 N from Bacon St (US-101) to Vermont St (US-101) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-11-26 10:56,57,72,8,SE,7,0,Fair
2968,2,2021-04-09 23:41,2021-04-10 1:07,37.766317,-122.405257,37.762187,-122.405838,0.287,Slow traffic on James Lick Fwy S - US-101 S from I-80 (US-101) to Vermont St (US-101) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-04-09 23:56,51,71,10,W,23,0,Mostly Cloudy / Windy
2969,2,2021-05-19 14:26,2021-05-19 17:25,37.7442,-122.405614,37.721983,-122.400635,1.559,Stationary traffic on James Lick Fwy S - US-101 S from Army St/Potrero Ave (US-101) to 3rd St/Bayshore Blvd (US-101) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-05-19 14:56,61,50,10,W,43,0,Fair / Windy
2970,2,2021-08-25 15:53,2021-08-25 18:47,37.773645,-122.463683,37.773773,-122.462698,0.055,Accident from 8th Ave (Fulton St) to Stanyan St (Fulton St).,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-08-25 15:56,66,63,10,NW,22,0,Fair / Windy
2972,2,2021-09-23 9:05,2021-09-23 10:05,37.733241,-122.41191,37.740351,-122.40785,0.539,Stationary traffic from exit [54B] to US-101 N due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-09-23 8:56,59,87,8,SSE,5,0,Cloudy
2973,2,2021-10-23 22:59,2021-10-24 1:05,37.729915,-122.439569,37.732755,-122.432869,0.415,Accident at exit [52].,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-10-23 22:56,59,93,3,SE,13,0.05,Light Rain
2974,2,2021-07-06 17:26,2021-07-06 19:10,37.767809,-122.405666,37.766319,-122.405236,0.106,Incident on I-80 WB near US-101 Expect delays.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-07-06 16:56,66,63,10,W,30,0,Mostly Cloudy / Windy
2975,2,2021-06-11 19:35,2021-06-11 22:17,37.719358,-122.448238,37.725778,-122.446188,0.458,Incident on I-280 NB near GENEVA Expect delays.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-06-11 19:56,67,59,10,W,15,0,Partly Cloudy
2976,2,2021-11-08 8:21,2021-11-08 9:41,37.768998,-122.409196,37.766317,-122.405257,0.284,Incident on I-80 WB near US-101 Right shoulder closed.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-11-08 7:56,49,83,10,SSW,3,0,Mostly Cloudy
2977,2,2021-04-15 4:15,2021-04-17 10:51,37.769841,-122.4177,37.772125,-122.422949,0.327,Slow traffic from Duboce Ave exit [434A] to Gough St due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-04-15 3:56,50,71,10,WSW,5,0,Fair
2978,2,2021-11-26 15:52,2021-11-26 17:56,37.784452,-122.472521,37.786321,-122.472568,0.129,Accident on California St (CA-1) from Park Presidio Blvd (CA-1) to CA-1.,L,San Francisco,San Francisco,US/Pacific,KSFO,2021-11-26 15:56,62,52,10,WNW,15,0,Mostly Cloudy
2980,2,2021-10-14 10:37,2021-10-14 12:34,37.741558,-122.407412,37.758514,-122.405233,1.178,Stationary traffic on James Lick Fwy N - US-101 N from I-280/Alemany Blvd (US-101) to Vermont St (US-101) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-10-14 10:56,62,70,10,NE,3,0,Fair
2981,2,2021-06-12 1:31,2021-06-12 3:35,37.758312,-122.405225,37.751863,-122.403198,0.459,Stationary traffic on James Lick Fwy S - US-101 S from San Francisco-Oakland Bay Bridge to exit [432] due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-06-12 1:56,64,78,10,W,7,0,Cloudy
2982,2,2021-06-23 12:27,2021-06-23 19:22,37.765236,-122.404898,37.774043,-122.405898,0.611,Slow traffic on I-80 E - James Lick Fwy N from I-80 exit [433B] to exit [1] due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-06-23 12:48,72,53,10,WSW,16,0,Mostly Cloudy
2983,2,2021-06-30 12:46,2021-06-30 13:50,37.757636,-122.404071,37.766494,-122.405081,0.615,Slow traffic on Central Skwy N - James Lick Fwy N - US-101 N - Central Fwy from Army St/Potrero Ave (US-101) to I-80 (US-101) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-06-30 12:56,71,57,10,W,15,0,Fair
2985,2,2021-11-29 13:13,2021-11-29 17:58,37.765236,-122.404898,37.773771,-122.406429,0.596,Stationary traffic on I-80 E - James Lick Fwy N from Seventh St exit [1] to exit [1] due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-11-29 12:56,61,75,7,ENE,3,0,Fair
2986,2,2021-11-28 15:17,2021-11-28 16:25,37.800589,-122.469507,37.792598,-122.469658,0.552,Stationary traffic on Veterans Blvd - CA-1 from US-101 (CA-1) to Park Presidio Blvd (CA-1) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-11-28 14:56,68,45,10,CALM,0,0,Fair
2988,2,2021-11-24 17:34,2021-11-24 18:14,37.632449,-122.40269,37.655296,-122.406711,1.594,Stationary traffic on Bayshore Fwy N - US-101 N from Terminal Acc (US-101) to Grand Ave (US-101) due to accident.,R,San Francisco,San Mateo,US/Pacific,KSFO,2021-11-24 17:56,59,48,10,CALM,0,0,Fair
2989,2,2021-05-21 14:16,2021-05-21 17:24,37.711834,-122.45521,37.711742,-122.455317,0.009,Accident from Geneva Ave (San Jose Ave) to I-280/Sagamore St/John F Foran Fwy (San Jose Ave).,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-05-21 13:56,64,43,10,W,24,0,Fair / Windy
2990,2,2021-06-29 11:57,2021-06-29 12:04,37.710345,-122.465361,37.701465,-122.471981,0.712,Slow traffic on I-280 S - John F Foran Fwy S from Sickles Ave (I-280) to CA-1/John Daly Blvd (I-280) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-06-29 11:56,66,68,10,WNW,18,0,Mostly Cloudy
2991,2,2021-11-05 18:35,2021-11-05 19:09,37.743956,-122.405779,37.729613,-122.403768,0.997,Stationary traffic on James Lick Fwy S - US-101 S from Army St/Potrero Ave (US-101) to I-280/Alemany Blvd (US-101) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-11-05 18:56,58,81,10,W,14,0,Mostly Cloudy
2992,2,2021-12-27 9:30,2021-12-27 9:38,37.731317,-122.435749,37.728593,-122.443089,0.443,Stationary traffic on I-280 S - John F Foran Fwy S from Alemany Blvd (I-280) to Ocean Ave (I-280) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-12-27 9:56,49,83,9,WNW,12,0,Cloudy
2993,2,2021-08-26 12:23,2021-08-26 18:25,37.742489,-122.406802,37.765971,-122.404861,1.626,Stationary traffic on James Lick Fwy N - US-101 N from Sunset to Seventh St exit [1] due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-08-26 11:56,68,65,10,ENE,6,0,Fair
2995,2,2021-12-10 18:48,2021-12-10 19:08,37.769461,-122.411159,37.769661,-122.416089,0.27,Stationary traffic on Central Skwy N - US-101 N - Central Fwy from Ninth St exit [433C] to Duboce Ave exit [434A] due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-12-10 18:56,51,68,10,W,12,0,Fair
2996,2,2021-10-24 14:34,2021-10-24 19:03,37.727031,-122.402666,37.715842,-122.39869,0.803,Accident on Bacon St (US-101) from 3rd St/Bayshore Blvd (US-101) to James Lick Fwy S - US-101 S.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-10-24 14:21,63,90,1,S,35,0.05,Light Rain / Windy
2997,2,2021-10-20 17:39,2021-10-20 17:59,37.743954,-122.405591,37.747216,-122.40363,0.25,Stationary traffic from US-101 N to Bayshore Blvd / Jerrold Ave due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-10-20 17:56,61,90,4,E,10,0.01,Light Rain
3004,2,2021-08-15 13:15,2021-08-15 15:47,37.730737,-122.442012,37.73153,-122.442017,0.055,Accident from Hearst Ave to Monterey Blvd.,L,San Francisco,San Francisco,US/Pacific,KSFO,2021-08-15 12:56,70,65,10,NW,20,0,Partly Cloudy
3005,2,2021-09-18 9:48,2021-09-18 17:05,37.734634,-122.406332,37.765959,-122.404999,2.166,Slow traffic on Central Skwy N - James Lick Fwy N - US-101 N - Central Fwy from Bacon St (US-101) to I-80 (US-101) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-09-18 9:56,63,75,10,SE,3,0,Mostly Cloudy
3008,2,2021-05-15 11:34,2021-05-15 17:39,37.731571,-122.423426,37.732317,-122.431509,0.445,Slow traffic on I-280 S - John F Foran Fwy S from Alemany Blvd (I-280) to Monterey Blvd/San Jose Ave (I-280) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-05-15 11:56,56,72,10,SW,10,0,Cloudy
3011,2,2021-10-24 16:37,2021-10-24 20:18,37.719356,-122.448243,37.729153,-122.441517,0.77,Accident on Sickles Ave (I-280) from Monterey Blvd/San Jose Ave (I-280) to John F Foran Fwy - I-280 N.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-10-24 16:33,64,87,2,SSW,30,0.25,Heavy Rain / Windy
3012,2,2021-09-30 8:16,2021-09-30 9:30,37.723037,-122.447666,37.73392,-122.410283,2.177,Slow traffic on John F Foran Fwy - I-280 N from Geneva Ave (I-280) to US-101 (I-280) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-09-30 7:56,58,75,10,CALM,0,0,Fair
3013,2,2021-07-10 23:39,2021-07-11 2:02,37.742992,-122.405202,37.742807,-122.404823,0.024,Accident from Bayshore Blvd (Oakdale Ave) to Industrial St (Oakdale Ave).,L,San Francisco,San Francisco,US/Pacific,KSFO,2021-07-10 22:56,58,81,10,NW,16,0,Fair
3014,2,2021-04-08 16:06,2021-04-08 19:30,37.734602,-122.409693,37.732276,-122.431857,1.222,Slow traffic on I-280 S - John F Foran Fwy S from Army St (I-280) to Monterey Blvd/San Jose Ave (I-280) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-04-08 15:56,60,49,10,WNW,21,0,Partly Cloudy / Windy
3015,2,2021-12-13 23:40,2021-12-14 0:58,37.728313,-122.443605,37.725866,-122.446383,0.227,Incident on I-280 SB near OCEAN AVE Expect delays.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-12-13 23:56,46,83,10,S,8,0.01,Cloudy
3016,2,2021-07-11 17:04,2021-07-11 19:57,37.721278,-122.448207,37.711225,-122.455223,0.793,Accident on Ocean Ave (I-280) from Sickles Ave (I-280) to I-280 S - John F Foran Fwy S.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-07-11 18:56,61,70,10,W,24,0,Partly Cloudy / Windy
3017,2,2021-09-09 16:13,2021-09-09 17:30,37.770373,-122.409729,37.769816,-122.409052,0.053,Incident on 10TH ST near BRYANT ST Drive with caution.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-09-09 15:56,66,68,10,WNW,20,0,Mostly Cloudy
3018,2,2021-12-25 23:12,2021-12-26 0:29,37.773768,-122.408502,37.77348,-122.408962,0.032,Incident on HARRISON ST near 8TH ST Drive with caution.,L,San Francisco,San Francisco,US/Pacific,KSFO,2021-12-25 22:56,46,76,10,W,10,0,Mostly Cloudy
3022,2,2021-11-08 8:21,2021-11-08 10:38,37.767795,-122.405399,37.766317,-122.405257,0.102,Accident from 7th St/Bryant St (I-80) to US-101 (I-80).,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-11-08 7:56,49,83,10,SSW,3,0,Mostly Cloudy
3023,2,2021-07-06 17:53,2021-07-06 19:59,37.770727,-122.405966,37.766307,-122.405246,0.308,Accident from 7th St/Bryant St (I-80) to US-101 (I-80).,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-07-06 17:56,65,65,10,W,25,0,Mostly Cloudy / Windy
3025,2,2021-09-04 23:35,2021-09-05 1:41,37.713127,-122.452306,37.721209,-122.448027,0.605,Stationary traffic on John F Foran Fwy - I-280 N from Sickles Ave (I-280) to Geneva Ave (I-280) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-09-04 23:56,56,90,9,WNW,12,0,Fair
3026,2,2021-04-12 10:45,2021-04-12 18:25,37.770949,-122.405755,37.812987,-122.361852,3.766,Slow traffic on San Francisco-Oakland Bay Brg E - I-80 E - James Lick Fwy N from US-101 (I-80) to Macalla Rd/Hillcrest Rd (I-80) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-04-12 10:56,60,62,8,NW,6,0,Partly Cloudy
3028,2,2021-05-30 11:35,2021-05-30 14:59,37.803034,-122.450513,37.833745,-122.483065,2.768,Stationary traffic on US-101 N - CA-1 N from Lyon St (US-101) to Golden Gate Recreation Area (US-101) due to accident.,R,San Francisco,San Francisco,US/Pacific,KSFO,2021-05-30 11:56,66,60,10,NE,5,0,Fair
